realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2010-01-13,324.7358
2019-12-23,2019-12-23,2010-01-20,323.9735
2019-12-23,2019-12-23,2010-01-27,323.236
2019-12-23,2019-12-23,2010-02-03,319.1459
2019-12-23,2019-12-23,2010-02-10,318.8201
2019-12-23,2019-12-23,2010-02-17,320.22
2019-12-23,2019-12-23,2010-02-24,318.6858
2019-12-23,2019-12-23,2010-03-03,313.6795
2019-12-23,2019-12-23,2010-03-10,312.2357
2019-12-23,2019-12-23,2010-03-17,315.1638
2019-12-23,2019-12-23,2010-03-24,320.44
2019-12-23,2019-12-23,2010-03-31,649.67
2019-12-23,2019-12-23,2010-04-07,650.3646
2019-12-23,2019-12-23,2010-04-14,649.3904
2019-12-23,2019-12-23,2010-04-21,647.9142
2019-12-23,2019-12-23,2010-04-28,646.7659
2019-12-23,2019-12-23,2010-05-05,643.6464
2019-12-23,2019-12-23,2010-05-12,641.9103
2019-12-23,2019-12-23,2010-05-19,641.0973
2019-12-23,2019-12-23,2010-05-26,638.3899
2019-12-23,2019-12-23,2010-06-02,634.3699
2019-12-23,2019-12-23,2010-06-09,635.0155
2019-12-23,2019-12-23,2010-06-16,632.359
2019-12-23,2019-12-23,2010-06-23,631.9932
2019-12-23,2019-12-23,2010-06-30,627.8286
2019-12-23,2019-12-23,2010-07-07,627.4845
2019-12-23,2019-12-23,2010-07-14,627.5424
2019-12-23,2019-12-23,2010-07-21,626.5497
2019-12-23,2019-12-23,2010-07-28,625.3758
2019-12-23,2019-12-23,2010-08-04,624.0753
2019-12-23,2019-12-23,2010-08-11,623.1321
2019-12-23,2019-12-23,2010-08-18,621.9977
2019-12-23,2019-12-23,2010-08-25,621.0121
2019-12-23,2019-12-23,2010-09-01,618.9122
2019-12-23,2019-12-23,2010-09-08,618.2184
2019-12-23,2019-12-23,2010-09-15,617.7892
2019-12-23,2019-12-23,2010-09-22,615.3473
2019-12-23,2019-12-23,2010-09-29,616.4129
2019-12-23,2019-12-23,2010-10-06,612.4797
